Transaction_ID,Transaction_Type,Transaction_Date,Transaction_Status,Transferring_Registry,Transferring_Account_Type,Transferring_Account_Name,Transferring_Account_Identifier,Transferring_Account_Holder,Acquiring_Registry,Acquiring_Account_Type,Acquiring_Account_Name,Acquiring_Account_Identifier,Acquiring_Account_Holder,Nb_of_Units,Originiality_Registry,Unit_Type,Number_of_Units,Original_Commitment_Period,LULUCF_Activity,Project_Identifier,Track,Expiry_Date
EU520716,10-2,2019-04-30 16:30:12.035,Completed,Belgium,100,0721 Electrabel - Gasturbines Langerlo,5028084,Electrabel,European Commission,100,EU Allowance deletion,5016380,European Commission,9895,EU,EU General Allowances (EUA),9895,2,,,,
EU514756,10-2,2019-04-30 15:55:48.45,Completed,Portugal,100,FONT SALEM PORTUGAL,5023111,FONT SALEM PORTUGAL,European Commission,100,EU Allowance deletion,5016380,European Commission,6929,EU,EU General Allowances (EUA),6929,2,,,,
EU520671,10-0,2019-04-30 15:16:52.613,Completed,United Kingdom,100,Mitsui Bussan Commodities Ltd,5017395,Mitsui Bussan Commodities Ltd,United Kingdom,100,ED&F Man Capital Markets Ltd,5023256,E D & F MAN CAPITAL MARKETS LIMITED,407000,EU,EU General Allowances (EUA),407000,2,,,,
EU520396,10-2,2019-04-30 14:26:55.015,Completed,France,100,COLAS PROJECTS - TSM 25-2,5023137,COLAS FRANCE,European Commission,100,EU Allowance deletion,5016380,European Commission,2016,EU,EU General Allowances (EUA),2016,2,,,,
EU520569,10-71,2019-04-30 13:46:52.357,Completed,France,100,WEYLCHEM LAMOTTE,5005967,WEYLCHEM LAMOTTE,European Commission,100,EU International Credit Account,5022590,EUROPEAN COMMISSION,17959,CN,CER - Certified Emission Reduction Unit,17959,2,,3195,,
EU520646,10-72,2019-04-30 13:47:52.264,Completed,European Commission,100,EU Credit Exchange Account,5022593,EUROPEAN COMMISSION,France,100,WEYLCHEM LAMOTTE,5005967,WEYLCHEM LAMOTTE,17959,EU,EU General Allowances (EUA),17959,2,,,,
EU520063,10-0,2019-04-30 12:44:20.66,Completed,Germany,100,ECC AG Auction Delivery Account DE,5016816,European Commodity Clearing AG,Germany,100,ECC AG Handel,5016813,European Commodity Clearing AG,3209000,EU,EU General Allowances (EUA),3209000,2,,,,
EU520603,10-2,2019-04-30 12:26:10.244,Completed,Poland,100,CIEPŁOWNIA,5003499,Miejska Energetyka Cieplna Sp. z o.o.,European Commission,100,EU Allowance deletion,5016380,European Commission,27865,EU,EU General Allowances (EUA),27865,2,,,,
EU520507,10-0,2019-04-30 12:26:23.696,Completed,Germany,100,ECC AG Handel,5016813,European Commodity Clearing AG,Spain,100,"Naturgy Energy Group, S.A.",5017187,"Naturgy Energy Group, S.A.",89000,EU,EU General Allowances (EUA),89000,2,,,,
EU520537,10-2,2019-04-30 11:24:48.133,Completed,Slovakia,100,"CHEMES, a. s. Humenné",5002996,"CHEMES, a.s. Humenné",European Commission,100,EU Allowance deletion,5016380,European Commission,55029,EU,EU General Allowances (EUA),55029,2,,,,
EU520557,10-2,2019-04-30 11:25:04.093,Completed,Spain,100,Matías Goma Tomás S.A.,5009813,Matias Gomá Tomas S.A.,European Commission,100,EU Allowance deletion,5016380,European Commission,15516,EU,EU General Allowances (EUA),15516,2,,,,
EU519836,10-0,2019-04-30 12:02:04.677,Completed,United Kingdom,100,CFP Energy Limited,5017513,CFP Energy Limited,United Kingdom,100,JPS LTD,5007882,Advanced Proteins Unltd,34137,EU,EU General Allowances (EUA),34137,2,,,,
EU520587,10-0,2019-04-30 11:54:53.655,Completed,Finland,100,Gasum Consulting Oy,5018688,Gasum Consulting Oy,Netherlands,100,ACT Trading,5017134,ACT Financial Solutions B.V.,23627,EU,EU General Allowances (EUA),23627,2,,,,
EU520538,10-2,2019-04-30 11:55:37.964,Completed,Norway,100,Agder Energi Varme,5012209,Agder Energi Varme AS,European Commission,100,EU Allowance deletion,5016380,European Commission,193,EU,EU General Allowances (EUA),193,2,,,,
EU520585,10-0,2019-04-30 11:55:54.103,Completed,Spain,100,"Sistema Europeo de Negociación de Co2, S.L.",5020183,"SISTEMA EUROPEO DE NEGOCIACIÓN DE CO2, S.L.",Spain,100,"Todagres, S.A.",5023194,"Todagres, S.A.",7150,EU,EU General Allowances (EUA),7150,2,,,,
EU520578,10-0,2019-04-30 11:56:04.442,Completed,United Kingdom,100,BNP Paribas,5017654,BNP Paribas,Netherlands,100,Compagnie Financière Michelin,5026250,Compagnie Financière Michelin SA,9694,EU,EU General Allowances (EUA),9694,2,,,,
EU520034,10-2,2019-04-30 11:59:26.517,Completed,Netherlands,100,PT Garuda Indonesia (Persero) Tbk.,5024104,PT Garuda Indonesia (Persero) Tbk.,European Commission,100,EU Allowance deletion,5016380,European Commission,27,EU,EU Aviation Allowances (EUAA),27,2,,,,
EU519843,10-2,2019-04-30 10:08:12.429,Completed,France,100,GASCOGNE PAPIER,5005288,GASCOGNE PAPIER,European Commission,100,EU Allowance deletion,5016380,European Commission,20099,EU,EU General Allowances (EUA),20099,2,,,,
EU520474,10-0,2019-04-30 10:08:34.473,Completed,Bulgaria,100,Grand Energy Distribution EOOD,5027708,Grand Energy Disribution EOOD,Bulgaria,100,GRAND CAPITAL LTD,5028006,GRAND CAPITAL LTD,97000,EU,EU General Allowances (EUA),97000,2,,,,
